id,group,split,language,intent,question,should_abstain,match,expected_sources,must_mention,source_urls,source_excerpts,uncertainties,verdict (ok / fix / drop),corrected_expected_sources,verified_by,verified_on,reviewer_notes
cpa-034-district-pecuniary,cpa-034-district-pecuniary,dev,en,statute_lookup,Up to what value can a District Consumer Commission hear a complaint?,False,all,"Consumer Protection Act, 2019 s. 34",one crore rupees,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 34] 34. Jurisdiction of District Commission.—(1) Subject to the other provisions of this Act, the District Commission shall have jurisdiction to entertain complaints where the value of the goods or services paid as consideration does not exceed one crore rupees: Provided that where the Central Government deems it necessary so to do, it may prescribe such other value, as it deems fit. (2) A complaint shall be instituted in a District Commission within the local limits of whose jurisdiction,— (a) the …",draft written by Claude; expected sources copied from the ingested text; note: Act text as retrieved; the proviso lets the Central Government prescribe another value and those rules are not ingested.,,,,,
cpa-002-consumer,cpa-002-consumer,test,en,statute_lookup,"Who is a consumer under the Consumer Protection Act, 2019?",False,all,"Consumer Protection Act, 2019 s. 2 (part 1 of 14)",,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 2 (part 1 of 14)] 2. Definitions.—In this Act, unless the context otherwise requires,— (1) “advertisement” means any audio or visual publicity, representation, endorsement or pronouncement made by means of light, sound, smoke, gas, print, electronic media, internet or website and includes any notice, circular, label, wrapper, invoice or such other documents; (2) “appropriate laboratory” means a laboratory or an organisation— (i) recognised by the Central Government; or (ii) recognised by a State Government, …","draft written by Claude; expected sources copied from the ingested text; note: s. 2(7), inside a 14-part s. 2 ('buys any goods' is in the ingested text)",,,,,
rera-018-refund,rera-018-refund,dev,en,explain,What can a home buyer claim if the builder fails to hand over the flat on the agreed date?,False,all,"Real Estate (Regulation and Development) Act, 2016 s. 18",interest,https://indiacode.gov.in/handle/123456789/496051,"[Real Estate (Regulation and Development) Act, 2016 s. 18] 18. Return of amount and compensation.—(1) If the promoter fails to complete or is unable to give possession of an apartment, plot or building,— (a) in accordance with the terms of the agreement for sale or, as the case may be, duly completed by the date specified therein; or (b) due to discontinuance of his business as a developer on account of suspension or revocation of the registration under this Act or for any other reason, he shall be liable on demand to the allottees, in case the …","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['home-buyer'] (data/registry/legal_terms.yaml), added after seeing failures; note: s. 18(1)",,,,,
rera-013-advance,rera-013-advance,test,en,statute_lookup,How much advance can a builder take before signing a written agreement for sale?,False,all,"Real Estate (Regulation and Development) Act, 2016 s. 13",ten per cent,https://indiacode.gov.in/handle/123456789/496051,"[Real Estate (Regulation and Development) Act, 2016 s. 13] 13. No deposit or advance to be taken by promoter without first entering into agreement for sale.—(1) A promoter shall not accept a sum more than ten per cent. of the cost of the apartment, plot, or building as the case may be, as an advance payment or an application fee, from a person without first entering into a written agreement for sale with such person and register the said agreement for sale, under any law for the time being in force. (2) The agreement for sale referred to in sub-section …",draft written by Claude; expected sources copied from the ingested text; note: s. 13(1),,,,,
lim-003-bar,lim-003-bar,dev,en,explain,What happens if a suit is filed after the limitation period has expired?,False,all,"Limitation Act, 1963 s. 3",dismissed,https://indiacode.gov.in/handle/123456789/496389,"[Limitation Act, 1963 s. 3] 3. Bar of limitation.—(1) Subject to the provisions contained in sections 4 to 24 (inclusive), every suit instituted, appeal preferred, and application made after the prescribed period shall be dismissed, although limitation has not been set up as a defence. (2) For the purposes of this Act,— (a) a suit is instituted,— (i) in an ordinary case, when the plaint is presented to the proper officer; (ii) in the case of a pauper, when his application for leave to sue as a pauper is made; and (iii) in …",draft written by Claude; expected sources copied from the ingested text; note: s. 3(1),,,,,
lim-005-condonation,lim-005-condonation,test,en,explain,Can a court admit an appeal that was filed after the limitation period?,False,all,"Limitation Act, 1963 s. 5",sufficient cause,https://indiacode.gov.in/handle/123456789/496389,"[Limitation Act, 1963 s. 5] 5. Extension of prescribed period in certain cases.—Any appeal or any application, other than an application under any of the provisions of Order XXI of the Code of Civil Procedure, 1908 (5 of 1908), may be admitted after the prescribed period if the appellant or the applicant satisfies the court that he had sufficient cause for not preferring the appeal or making the application within such period. Explanation.—The fact that the appellant or the applicant was misled by any order, practice or …",draft written by Claude; expected sources copied from the ingested text; note: s. 5,,,,,
ica-010-valid-contract,ica-010-valid-contract,dev,en,statute_lookup,What makes an agreement a valid contract?,False,all,"Indian Contract Act, 1872 s. 10",free consent,https://indiacode.gov.in/handle/123456789/496413,"[Indian Contract Act, 1872 s. 10] 10. What agreements are contracts.—All agreements are contracts if they are made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and are not hereby expressly declared to be void. Nothing herein contained shall affect any law in force in [India] and not hereby expressly repealed by which any contract is required to be made in writing or in the presence of witnesses, or any law relating to the registration of documents.",draft written by Claude; expected sources copied from the ingested text,,,,,
ica-073-damages,g-ica-73,test,en,explain,What compensation can I claim when the other side breaks a contract?,False,all,"Indian Contract Act, 1872 s. 73 (part 1 of 7)",compensation,https://indiacode.gov.in/handle/123456789/496413,"[Indian Contract Act, 1872 s. 73 (part 1 of 7)] 73.Compensation for loss or damage caused by breach of contract.—When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach, or which the parties knew, when they made the contract, to be likely to result from the breach of it. Such compensation is not to be given for any remote and indirect …",draft written by Claude; expected sources copied from the ingested text; note: s. 73 (7 parts),,,,,
ica-025-no-consideration,ica-025-no-consideration,dev,en,statute_lookup,Is an agreement made without consideration valid?,False,all,"Indian Contract Act, 1872 s. 25",void,https://indiacode.gov.in/handle/123456789/496413,"[Indian Contract Act, 1872 s. 25] 25. Agreement without consideration, void, unless it is in writing and registered,or is a promise to compensate for something done or is a promise to pay a debt barred by limitation law.—An agreement made without consideration is void, unless— (1) it is expressed in writing and registered under the law for the time being in force for the registration of [documents], and is made on account of natural love and affection between parties standing in a near relation to each other ; or unless (2) it …",draft written by Claude; expected sources copied from the ingested text; note: s. 25 and its exceptions,,,,,
sra-010-specific-performance,g-specific-performance,test,en,statute_lookup,Will a court enforce specific performance of a contract?,False,all,"Specific Relief Act, 1963 s. 10",specific performance,https://indiacode.gov.in/handle/123456789/496392,"[Specific Relief Act, 1963 s. 10] [10. Specific performance in respect of contracts.—The specific performance of a contract shall be enforced by the court subject to the provisions contained in sub-section (2) of section 11, section 14 and section 16.]",draft written by Claude; expected sources copied from the ingested text; note: s. 10 as substituted,,,,,
cpc-009-civil-suits,cpc-009-civil-suits,dev,en,statute_lookup,Which courts can try civil suits?,False,all,"Code of Civil Procedure, 1908 s. 9",suits of a civil nature,https://indiacode.gov.in/handle/123456789/496430,"[Code of Civil Procedure, 1908 s. 9] 9. Courts to try all civil suits unless barred.—The Courts shall (subject to the provisions herein contained) have jurisdiction to try all suits of a civil nature excepting suits of which their cognizance is either expressly or impliedly barred. [Explanation I].—A suit in which the right to property or to an office is contested is a suit of a civil nature, notwithstanding that such right may depend entirely on the decision of questions as to religious rites or ceremonies. [Explanation II.—For …",draft written by Claude; expected sources copied from the ingested text,,,,,
cpc-011-res-judicata,g-cpc-11,test,en,statute_lookup,What is res judicata under the Code of Civil Procedure?,False,all,"Code of Civil Procedure, 1908 s. 11 (part 1 of 2)",former suit,https://indiacode.gov.in/handle/123456789/496430,"[Code of Civil Procedure, 1908 s. 11 (part 1 of 2)] 11. Res judicata.—No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, or between parties under whom they or any of them claim, litigating under the same title, in a Court competent to try such subsequent suit or the suit in which such issue has been subsequently raised, and has been heard and finally decided by such Court. Explanation I.—The expression “former suit” …",draft written by Claude; expected sources copied from the ingested text,,,,,
cpc-o39r1-injunction,cpc-o39r1-injunction,dev,en,statute_lookup,When can a court grant a temporary injunction under Order 39 Rule 1 CPC?,False,all,"Code of Civil Procedure, 1908 O. XXXIX r. 1",temporary injunction,https://indiacode.gov.in/handle/123456789/496430,"[Code of Civil Procedure, 1908 O. XXXIX r. 1] 1. Cases in which temporary injunction may be granted.—Where in any suit it is proved by affidavit or otherwise— (a) that any property in dispute in a suit is in danger of being wasted, damaged or alienated by any party to the suit, or wrongfully sold in execution of a decree, or (b) that the defendant threatens, or intends, to remove or dispose of his property with a view to [defrauding] his creditors, [(c) that the defendant threatens to dispossess, the plaintiff or otherwise cause injury to …",draft written by Claude; expected sources copied from the ingested text; note: First Schedule rule,,,,,
cpc-o7r11-rejection,cpc-o7r11-rejection,test,en,statute_lookup,When will a court reject a plaint?,False,all,"Code of Civil Procedure, 1908 O. VII r. 11",cause of action,https://indiacode.gov.in/handle/123456789/496430,"[Code of Civil Procedure, 1908 O. VII r. 11] 11. Rejection of plaint.—The plaint shall be rejected in the following cases:— (a) where it does not disclose a cause of action; (b) where the relief claimed is undervalued, and the plaintiff, on being required by the Court to correct the valuation within a time to be fixed by the Court, fails to do so; (c) where the relief claimed is properly valued, but the plaint is returned upon paper insufficiently stamped, and the plaintiff, on being required by the Court to supply the requisite …",draft written by Claude; expected sources copied from the ingested text; note: First Schedule rule,,,,,
rfct-026-market-value,rfct-026-market-value,dev,en,explain,How is the market value of land decided when the government acquires it?,False,all,"Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013 s. 26 (part 1 of 3)",market value,https://indiacode.gov.in/handle/123456789/496066,"[Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013 s. 26 (part 1 of 3)] 26. Determination of market value of land by Collector.–(1) The Collector shall adopt the following criteria in assessing and determining the market value of the land, namely:— (a) the market value, if any, specified in the Indian Stamp Act, 1899 (2 of 1899) for the registration of sale deeds or agreements to sell, as the case may be, in the area, where the land is situated; or (b) the average sale price for similar type of land situated in the nearest village or nearest vicinity area; or (c) …",draft written by Claude; expected sources copied from the ingested text; note: s. 26 (3 parts),,,,,
bnss-035-arrest-without-warrant,bnss-035-arrest-without-warrant,test,en,explain,When can the police arrest someone without a warrant?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 35 (part 1 of 3)",cognizable offence,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 35 (part 1 of 3)] 35. When police may arrest without warrant.—(1) Any police officer may without an order from a Magistrate and without a warrant, arrest any person— (a) who commits, in the presence of a police officer, a cognizable offence; or (b) against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists that he has committed a cognizable offence punishable with imprisonment for a term which may be less than seven years or which may extend to …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 35,,,,,
reg-072-refusal-appeal,reg-072-refusal-appeal,dev,en,procedure,What can I do if the Sub-Registrar refuses to register my document?,False,any,"Registration Act, 1908 s. 72 | Registration Act, 1908 s. 73",Registrar,https://indiacode.gov.in/handle/123456789/496068 | https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 72] 72. Appeal to Registrar from orders of Sub-Registrar refusing registration on ground other than denial of execution.—(1) Except where the refusal is made on the ground of denial of execution, an appeal shall lie against an order of a Sub-Registrar refusing to admit a document to registration (whether the registration of such document is compulsory or optional) to the Registrar to whom such Sub-Registrar is subordinate, if presented to such Registrar within thirty days from the date of the … || [Registration Act, 1908 s. 73] 73. Application to Registrar where Sub-Registrar refuses to register on ground of denial of execution.—(1) When a Sub-Registrar has refused to register a document on the ground that any person by whom it purports to be executed, or his representative or assign, denies its execution, any person claiming under such document, or his representative, assign or agent authorised as aforesaid, may, within thirty days after the making of the order of refusal, apply to the Registrar to whom such …",draft written by Claude; expected sources copied from the ingested text; note: s. 72 (refusal on other grounds) or s. 73 (denial of execution),,,,,
proc-cpa-035-file,proc-cpa-035-file,test,en,procedure,How do I file a consumer complaint and who is allowed to file it?,False,all,"Consumer Protection Act, 2019 s. 35",District Commission,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 35] 35. Manner in which complaint shall be made.—(1) A complaint, in relation to any goods sold or delivered or agreed to be sold or delivered or any service provided or agreed to be provided, may be filed with a District Commission by— (a) the consumer,— (i) to whom such goods are sold or delivered or agreed to be sold or delivered or such service is provided or agreed to be provided; or (ii) who alleges unfair trade practice in respect of such goods or service; (b) any recognised consumer …",draft written by Claude; expected sources copied from the ingested text,,,,,
proc-reg-032-present,proc-reg-032-present,dev,en,procedure,Who can present a document at the registration office?,False,all,"Registration Act, 1908 s. 32",executing,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 32] 32. Persons to present documents for registration.—Except in the cases mentioned in [sections 31, 88 and 89], every document to be registered under this Act, whether such registration be compulsory or optional, shall be presented at the proper registration-office,— (a) by some person executing or claiming under the same, or, in the case of a copy of a decree or order, claiming under the decree or order, or (b) by the representative or assign of such person, or (c) by the agent of such person, …",draft written by Claude; expected sources copied from the ingested text,,,,,
proc-bnss-173-fir,proc-bnss-173-fir,test,en,procedure,"How do I report a cognizable offence to the police, and can it be done electronically?",False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 173 (part 1 of 2)",electronic communication,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 173 (part 1 of 2)] 173. Information in cognizable cases.—(1) Every information relating to the commission of a cognizable offence, irrespective of the area where the offence is committed, may be given orally or by electronic communication to an officer in charge of a police station, and if given— (i) orally, it shall be reduced to writing by him or under his direction, and be read over to the informant; and every such information, whether given in writing or reduced to writing as aforesaid, shall be signed by the …",draft written by Claude; expected sources copied from the ingested text; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 173(1),,,,,
proc-bnss-482-anticipatory,g-anticipatory-bail,dev,en,procedure,How do I apply for anticipatory bail?,False,all,"Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482",Court of Session,https://indiacode.gov.in/handle/123456789/496550,"[Bharatiya Nagarik Suraksha Sanhita, 2023 s. 482] 482. Direction for grant of bail to person apprehending arrest.—(1) When any person has reason to believe that he may be arrested on an accusation of having committed a non-bailable offence, he may apply to the High Court or the Court of Session for a direction under this section; and that Court may, if it thinks fit, direct that in the event of such arrest, he shall be released on bail. (2) When the High Court or the Court of Session makes a direction under sub-section (1), it may include such …","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['anticipatory-bail'] (data/registry/legal_terms.yaml), added after seeing failures; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: BNSS s. 482(1)",,,,,
proc-rera-031-complaint,proc-rera-031-complaint,test,en,procedure,How does a flat buyer file a complaint against a builder under RERA?,False,all,"Real Estate (Regulation and Development) Act, 2016 s. 31",complaint,https://indiacode.gov.in/handle/123456789/496051,"[Real Estate (Regulation and Development) Act, 2016 s. 31] 31. Filing of complaints with the Authority or the adjudicating officer.—(1) Any aggrieved person may file a complaint with the Authority or the adjudicating officer, as the case may be, for any violation or contravention of the provisions of this Act or the rules and regulations made thereunder, against any promoter, allottee or real estate agent, as the case may be. Explanation.—For the purpose of this sub-section “person” shall include the association of allottees or any voluntary consumer …","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['home-buyer'] (data/registry/legal_terms.yaml), added after seeing failures; note: state RERA rules not ingested",,,,,
proc-cpa-038-after-admission,proc-cpa-038-after-admission,dev,en,procedure,What happens after a consumer complaint about defective goods is admitted?,False,all,"Consumer Protection Act, 2019 s. 38 (part 1 of 5)",twenty-one days,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 38 (part 1 of 5)] 38. Procedure on admission of complaint.—(1) The District Commission shall, on admission of a complaint, or in respect of cases referred for mediation on failure of settlement by mediation, proceed with such complaint. (2) Where the complaint relates to any goods, the District Commission shall,— (a) refer a copy of the admitted complaint, within twenty-one days from the date of its admission to the opposite party mentioned in the complaint directing him to give his version of the case within a …",draft written by Claude; expected sources copied from the ingested text; note: s. 38(2)(a),,,,,
proc-lim-004-court-closed,proc-lim-004-court-closed,test,en,procedure,What if the last day to file my suit falls on a day the court is closed?,False,all,"Limitation Act, 1963 s. 4",re-opens,https://indiacode.gov.in/handle/123456789/496389,"[Limitation Act, 1963 s. 4] 4. Expiry of prescribed period when court is closed.—Where the prescribed period for any suit, appeal or application expires on a day when the court is closed, the suit, appeal or application may be instituted, preferred or made on the day when the court re-opens. Explanation.—A court shall be deemed to be closed on any day within the meaning of this section if during any part of its normal working hours it remains closed on that day.",draft written by Claude; expected sources copied from the ingested text,,,,,
cl-ida-24-2-lapse,cl-ida-24-2-lapse,dev,en,case_law,What did the Supreme Court decide in Indore Development Authority v. Manoharlal about when land acquisition proceedings lapse under section 24(2) of the 2013 Act?,False,all,"INDORE DEVELOPMENT AUTHORITY versus MANOHARLAL & ORS. ETC. (2020-03-06), [2020] 3 S.C.R. 1; 2020 INSC 294",possession | compensation,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2020/english/2020_3_1_328_EN.pdf,"[INDORE DEVELOPMENT AUTHORITY versus MANOHARLAL & ORS. ETC. (2020-03-06), [2020] 3 S.C.R. 1; 2020 INSC 294] (judgment: check the passage the question relies on)","draft written by Claude; expected sources copied from the ingested text; note: Indore Development Authority v. Manoharlal (Constitution Bench, 6 March 2020): para 363 answer 3 (pp. 326-327) — 'or' in s. 24(2) is read as 'nor' or 'and'.",,,,,
cl-ncdrc-conditional-stay,cl-ncdrc-conditional-stay,test,en,case_law,Can the National Consumer Commission make a stay conditional on depositing the entire amount awarded?,False,all,"MANOHAR INFRASTRUCTURE AND CONSTRUCTIONS PRIVATE LIMITED versus SANJEEV KUMAR SHARMA AND ORS. (2021-12-07), [2021] 11 S.C.R. 1181; 2021 INSC 836",conditional stay,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2021/english/2021_11_1181_1194_EN.pdf,"[MANOHAR INFRASTRUCTURE AND CONSTRUCTIONS PRIVATE LIMITED versus SANJEEV KUMAR SHARMA AND ORS. (2021-12-07), [2021] 11 S.C.R. 1181; 2021 INSC 836] (judgment: check the passage the question relies on)","draft written by Claude; expected sources copied from the ingested text; note: Manohar Infrastructure v. Sanjeev Kumar Sharma, paras 13-15",,,,,
cl-anticipatory-bail,g-anticipatory-bail,dev,en,case_law,What has the Supreme Court said about when anticipatory bail can be granted?,False,any,"PRIYA INDORIA versus STATE OF KARNATAKA AND ORS. ETC. (2023-11-20), [2023] 15 S.C.R. 525; 2023 INSC 1008 | DHANRAJ ASWANI versus AMAR S. MULCHANDANI & ANR. (2024-09-09), [2024] 9 S.C.R. 257; 2024 INSC 669 | SRIKANT UPADHYAY & ORS versus STATE OF BIHAR & ANR. (2024-03-14), [2024] 3 S.C.R. 421; 2024 INSC 202",,https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2023/english/2023_15_525_589_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2024/english/2024_9_257_312_EN.pdf | https://indian-supreme-court-judgments.s3.ap-south-1.amazonaws.com/data/pdf/year=2024/english/2024_3_421_437_EN.pdf,"[PRIYA INDORIA versus STATE OF KARNATAKA AND ORS. ETC. (2023-11-20), [2023] 15 S.C.R. 525; 2023 INSC 1008] (judgment: check the passage the question relies on) || [DHANRAJ ASWANI versus AMAR S. MULCHANDANI & ANR. (2024-09-09), [2024] 9 S.C.R. 257; 2024 INSC 669] (judgment: check the passage the question relies on) || [SRIKANT UPADHYAY & ORS versus STATE OF BIHAR & ANR. (2024-03-14), [2024] 3 S.C.R. 421; 2024 INSC 202] (judgment: check the passage the question relies on)","draft written by Claude; expected sources copied from the ingested text; retrieval uses term expansion ['anticipatory-bail'] (data/registry/legal_terms.yaml), added after seeing failures; CrPC text is not ingested; old-law answers rely on judgments and the BNSS repeal section; note: judgments in the corpus that discuss anticipatory bail most (chunk counts); any one is acceptable",,,,,
